Grupo,Ruta,Nombre,Main Algorithm,Alternative Algorithm,Alternative Algorithm 2,Alternative Algorithm 3,,Set Up
Group,Case Name.png,Case Name,Main Algorithm,Alternative Algorithm,Alternative Algorithm 2 ,Set Up Algorithm,"U1U7-s8,U7U1-s8,U3U5-s8,U5U3-s8",Set Up Algorithm
Permutations of Edges Only,H.png,H,M2 U' M2 U2 M2 U' M2,M2 U M2 U2 M2 U M2,R2 S2 R2 U' R2 S2 R2,M2 U M2 U2 M2 U M2,"U1U7-s8,U7U1-s8,U3U5-s8,U5U3-s8",M2 U M2 U2 M2 U M2
Permutations of Edges Only,Ua.png,Ua,y2 M2 U M U2 M' U M2,(R U R' U) R' U' R2 U' R' (U R' U R),y R2 U' S' U2 S U' R2,M2 U' M U2 M' U' M2 y2,"U5U1-s8,U1U3-s8,U3U5-s8",M2 U' M U2 M' U' M2 y2
Permutations of Edges Only,Ub.png,Ub,y2 M2 U' M U2 M' U' M2,R2' U (R U R' U') R3 U' R' U R',R' U R' U' R' U' (R' U R) U R2,M2 U M U2 M' U M2 y2,"U1U5-s8,U5U3-s8,U3U1-s8",M2 U M U2 M' U M2 y2
Permutations of Edges Only,Z.png,Z,M' U' M2 U' M2 U' M' U2 M2,M2 U M2 U M' U2 M2 U2 M',y M2 U' M2 U' M' U2 M2 U2 M',M2 U2 M U M2 U M2 U M,"U7U5-s8,U5U7-s8,U3U1-s8,U1U3-s8",M2 U2 M U M2 U M2 U M
Permutations of Corners Only,Aa.png,Aa,x R' U R' D2 (R U' R') D2 R2 x',y x' R2 D2 (R' U' R) D2 R' U R' x,,x R2 D2 (R U R') D2 R U' R x',"U8U0-s8,U0U2-s8,U2U8-s8",x R2 D2 R U R' D2 R U' R x'
Permutations of Corners Only,Ab.png,Ab,x R2 D2 (R U R') D2 R U' R x',y x' R U' R D2 (R' U R) D2 R2 x,,x R' U R' D2 (R U' R') D2 R2 x',"U2U0-s8,U0U8-s8,U8U2-s8",x R' U R' D2 R U' R' D2 R2 x'
Permutations of Corners Only,E.png,E,y x' (R U' R') D (R U R') D' (R U R') D (R U' R') D' x,y R' U' R' D' (R U' R') D (R U R') D' (R U R') D R2,,x' D (R U R') D' (R U' R') D (R U' R') D' (R U R') x y',"U6U8-s8,U8U6-s8,U0U2-s8,U2U0-s8",x' D R U R' D' R U' R' D R U' R' D' R U R' x y'
Swap One Set of Adjacent Corners,Ra.png,Ra,y (R U' R' U') R U R D (R' U' R) D' R' U2 R',y (R U R' F') (R U2 R') U2 R' F R U (R U2 R'),,R U2 R D (R' U R) D' R' U' R' U (R U R') y',"U0U2-s8,U2U0-s8,U7U3-s8,U3U7-s8",R U2 R D R' U R D' R' U' R' U R U R' y'
Swap One Set of Adjacent Corners,Rb.png,Rb,R' U2 (R U2 R') F (R U R' U') R' F' R2,y R2 F R (U R U' R') F' (R U2 R') U2 R,,R2 F R (U R U' R') F' (R U2 R') U2 R,"U0U2-s8,U2U0-s8,U7U5-s8,U5U7-s8",R2 F R U R U' R' F' R U2 R' U2 R
Swap One Set of Adjacent Corners,Ja.png,Ja,y2 x R2 F R F' R U2 r' U r U2 x',y R' U L' U2 R U' (R' U2 R) L,(L' U' L F) (L' U' L U) L F' L2 U L,x U2 r' U' r U2 R' F R' F' R2 x' y2,"U0U6-s8,U6U0-s8,U3U7-s8,U7U3-s8",x U2 r' U' r U2 R' F R' F' R2 x' y2
Swap One Set of Adjacent Corners,Jb.png,Jb,(R U R' F') (R U R' U') R' F R2 U' R',(R U2 R' U') R U2 L' U R' U' L,,R U R2 F' R (U R U' R') F (R U' R'),"U2U8-s8,U8U2-s8,U7U5-s8,U5U7-s8",R U R2 F' R U R U' R' F R U' R'
